time,gpu0-0,gpu0-1,gpu0-2,gpu0-3,gpu0-4,gpu0-5,gpu0-6,gpu0-7,gpu1-0,gpu1-1,gpu1-2,gpu1-3,gpu1-4,gpu1-5,gpu1-6,gpu1-7,gpu2-0,gpu2-1,gpu2-2,gpu2-3,gpu2-4,gpu2-5,gpu2-6,gpu2-7,gpu3-0,gpu3-1,gpu3-2,gpu3-3,gpu3-4,gpu3-5,gpu3-6,gpu3-7,gpu4-0,gpu4-1,gpu4-2,gpu4-3,gpu4-4,gpu4-5,gpu4-6,gpu4-7,gpu5-0,gpu5-1,gpu5-2,gpu5-3,gpu5-4,gpu5-5,gpu5-6,gpu5-7,gpu6-0,gpu6-1,gpu6-2,gpu6-3,gpu6-4,gpu6-5,gpu6-6,gpu6-7,gpu7-0,gpu7-1,gpu7-2,gpu7-3,gpu7-4,gpu7-5,gpu7-6,gpu7-7,gpu8-0,gpu8-1,gpu8-2,gpu8-3,gpu8-4,gpu8-5,gpu8-6,gpu8-7,gpu9-0,gpu9-1,gpu9-2,gpu9-3,gpu9-4,gpu9-5,gpu9-6,gpu9-7,gpu10-0,gpu10-1,gpu10-2,gpu10-3,gpu10-4,gpu10-5,gpu10-6,gpu10-7,gpu11-0,gpu11-1,gpu11-2,gpu11-3,gpu11-4,gpu11-5,gpu11-6,gpu11-7,gpu12-0,gpu12-1,gpu12-2,gpu12-3,gpu12-4,gpu12-5,gpu12-6,gpu12-7,gpu13-0,gpu13-1,gpu13-2,gpu13-3,gpu13-4,gpu13-5,gpu13-6,gpu13-7,gpu14-0,gpu14-1,gpu14-2,gpu14-3,gpu14-4,gpu14-5,gpu14-6,gpu14-7,gpu15-0,gpu15-1,gpu15-2,gpu15-3,gpu15-4,gpu15-5,gpu15-6,gpu15-7,gpu16-0,gpu16-1,gpu16-2,gpu16-3,gpu16-4,gpu16-5,gpu16-6,gpu16-7,gpu17-0,gpu17-1,gpu17-2,gpu17-3,gpu17-4,gpu17-5,gpu17-6,gpu17-7,gpu18-0,gpu18-1,gpu18-2,gpu18-3,gpu18-4,gpu18-5,gpu18-6,gpu18-7,gpu19-0,gpu19-1,gpu19-2,gpu19-3,gpu19-4,gpu19-5,gpu19-6,gpu19-7,gpu20-0,gpu20-1,gpu20-2,gpu20-3,gpu20-4,gpu20-5,gpu20-6,gpu20-7,gpu21-0,gpu21-1,gpu21-2,gpu21-3,gpu21-4,gpu21-5,gpu21-6,gpu21-7,gpu22-0,gpu22-1,gpu22-2,gpu22-3,gpu22-4,gpu22-5,gpu22-6,gpu22-7,gpu23-0,gpu23-1,gpu23-2,gpu23-3,gpu23-4,gpu23-5,gpu23-6,gpu23-7,gpu24-0,gpu24-1,gpu24-2,gpu24-3,gpu24-4,gpu24-5,gpu24-6,gpu24-7,gpu25-0,gpu25-1,gpu25-2,gpu25-3,gpu25-4,gpu25-5,gpu25-6,gpu25-7,gpu26-0,gpu26-1,gpu26-2,gpu26-3,gpu26-4,gpu26-5,gpu26-6,gpu26-7,gpu27-0,gpu27-1,gpu27-2,gpu27-3,gpu27-4,gpu27-5,gpu27-6,gpu27-7,gpu28-0,gpu28-1,gpu28-2,gpu28-3,gpu28-4,gpu28-5,gpu28-6,gpu28-7,gpu29-0,gpu29-1,gpu29-2,gpu29-3,gpu29-4,gpu29-5,gpu29-6,gpu29-7,gpu30-0,gpu30-1,gpu30-2,gpu30-3,gpu30-4,gpu30-5,gpu30-6,gpu30-7,gpu31-0,gpu31-1,gpu31-2,gpu31-3,gpu31-4,gpu31-5,gpu31-6,gpu31-7,ce
4406904,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,455,455,487,488,493,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138387188762562
4408517,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,455,455,487,488,493,494,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142293438762562
4408577,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,455,455,487,488,493,494,495,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146199688762562
4409576,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,455,455,487,493,494,495,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142293438762562
4409989,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,455,455,487,493,494,495,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15511820994459966
4410120,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,455,455,493,494,495,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15121195994459966
4410903,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,455,455,493,494,495,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15121195994459966
4411776,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,455,455,493,494,495,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15121195994459966
4411836,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,455,455,493,494,495,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15121195994459966
4415726,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,455,455,493,494,495,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15121195994459966
4415786,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,455,455,493,494,495,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15121195994459966
4422354,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,455,455,493,494,495,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16433075628465812
4423167,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,455,455,493,494,495,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16433075628465812
4423717,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,455,455,493,495,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16042450628465812
4423972,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,455,455,495,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15651825628465812
4425371,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,455,455,495,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15651825628465812
4432558,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,455,455,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15261200628465812
4432618,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,455,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14870575628465812
4433325,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,455,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16250867665057828
4434138,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,455,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16250867665057828
4434751,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,455,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16250867665057828
4436198,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,455,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16250867665057828
4441407,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,500,500,500,500,455,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17533344783261595
4442220,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,500,500,500,500,455,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17533344783261595
4442833,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,500,500,500,500,455,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17533344783261595
4442906,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,500,500,500,500,455,455,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17923969783261595
4442966,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,500,500,500,500,455,455,501,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18314594783261595
4444380,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,500,500,500,500,455,455,501,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18314594783261595
4446165,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,500,500,500,500,455,455,501,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18314594783261595
4446225,463,463,463,463,476,476,476,476,477,477,477,477,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,500,500,500,500,455,455,501,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18314594783261595
4448593,463,463,463,463,476,476,476,476,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,500,500,500,500,455,455,501,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17270017647312422
4450115,463,463,463,463,476,476,476,476,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,500,500,500,500,455,455,501,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17270017647312422
4450175,463,463,463,463,476,476,476,476,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,500,500,500,500,455,455,501,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17270017647312422
4453600,463,463,463,463,483,483,483,483,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,500,500,500,500,455,455,501,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15958138013306575
4458674,463,463,463,463,484,484,484,484,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,500,500,500,500,455,455,501,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14867444077163924
4461924,463,463,463,463,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,500,500,500,500,455,455,501,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13919924377734552
4466045,463,463,463,463,486,486,486,486,489,489,489,489,490,490,490,490,491,491,491,491,492,492,492,492,497,497,497,497,498,498,498,498,499,499,499,499,500,500,500,500,455,455,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13529299377734552
